epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,238.661,0.47057,0.85491,1.38842,0.92453,0,0.99098,0.98149,0.99429,0.90456,0.99098,0.98149,0.99429,0.92133,0.44087,0.55883,2.21707,0.92751,0,0.000650407,0.000650407,0.000650407
2,431.543,0.45879,0.53992,0.83744,0.91476,0,0.88444,0.83036,0.93729,0.7938,0.88444,0.83036,0.92929,0.83356,0.57767,1.07383,1.88038,1.00749,0,0.00129534,0.00129534,0.00129534
3,621.482,0.48596,0.59244,0.79836,0.93087,0,0.40589,0.7076,0.40454,0.30703,0.40589,0.7076,0.40333,0.27672,0.69997,1.94211,2.23222,1.07888,0,0.00191828,0.00191828,0.00191828
4,810.839,0.49434,0.5819,0.7105,0.92279,0,0.83495,0.90333,0.89411,0.68068,0.83495,0.90333,0.89508,0.73606,0.70248,1.36634,2.26301,1.10879,0,0.001901,0.001901,0.001901
5,1001.63,0.47188,0.58588,0.61386,0.9268,0,0.86079,0.69643,0.86102,0.69521,0.80346,0.73214,0.86171,0.74258,0.61953,0.63285,2.07576,1.03811,0,0.001868,0.001868,0.001868
6,1192.35,0.47025,0.52021,0.55808,0.90156,0,0.99022,1,0.995,0.93515,0.99022,1,0.995,0.9697,0.33506,0.35474,0.65075,0.81911,0,0.001835,0.001835,0.001835
7,1382.9,0.4354,0.53852,0.50201,0.89482,0,0.97325,0.9747,0.98581,0.92908,0.97325,0.9747,0.98473,0.96382,0.354,0.49486,0.59469,0.83553,0,0.001802,0.001802,0.001802
8,1994.76,0.4201,0.5115,0.46459,0.89423,0,0.99883,1,0.995,0.95385,0.99883,1,0.995,0.89229,0.33753,1.09332,0.53261,0.83141,0,0.001769,0.001769,0.001769
9,2337.41,0.40758,0.49201,0.4532,0.88669,0,0.98745,1,0.995,0.9222,0.98745,1,0.995,0.95556,0.3633,0.93715,0.60021,0.843,0,0.001736,0.001736,0.001736
10,2526.96,0.39697,0.4216,0.40658,0.88734,0,0.96252,0.99107,0.995,0.93921,0.96252,0.99107,0.995,0.96044,0.35223,0.23062,0.54332,0.84037,0,0.001703,0.001703,0.001703
11,2718.15,0.3769,0.40969,0.39053,0.88461,0,0.98379,1,0.99403,0.94775,0.98379,1,0.99403,0.97378,0.32846,0.24517,0.50637,0.83017,0,0.00167,0.00167,0.00167
12,2912.99,0.3608,0.40818,0.37225,0.87747,0,0.99901,1,0.995,0.97304,0.99901,1,0.995,0.98968,0.2661,0.17883,0.46442,0.78835,0,0.001637,0.001637,0.001637
13,3282.06,0.36895,0.43677,0.36954,0.87824,0,0.98954,1,0.995,0.95736,0.98954,1,0.995,0.97424,0.2827,0.23559,0.33138,0.79171,0,0.001604,0.001604,0.001604
14,3535.04,0.34944,0.41057,0.34657,0.86532,0,0.9971,1,0.995,0.95281,0.9971,1,0.995,0.98325,0.25532,0.20282,0.35016,0.77709,0,0.001571,0.001571,0.001571
15,3725.29,0.35386,0.44464,0.35623,0.87755,0,0.99806,1,0.995,0.96387,0.99806,1,0.995,0.98618,0.25863,0.25271,0.30803,0.78261,0,0.001538,0.001538,0.001538
16,3918.19,0.33875,0.35725,0.33282,0.87208,0,0.99794,1,0.995,0.96405,0.99794,1,0.995,0.98127,0.25169,0.1767,0.24315,0.76393,0,0.001505,0.001505,0.001505
17,4110.07,0.34231,0.38659,0.33074,0.87241,0,0.98749,1,0.9942,0.95083,0.98749,1,0.9942,0.98552,0.27599,0.16463,0.33389,0.78792,0,0.001472,0.001472,0.001472
18,4313.15,0.34147,0.39863,0.32307,0.86261,0,1,0.99973,0.995,0.97651,1,0.99973,0.995,0.98795,0.23579,0.18591,0.25789,0.77125,0,0.001439,0.001439,0.001439
19,4518.83,0.33392,0.42627,0.31737,0.864,0,1,0.99964,0.995,0.97645,1,0.99964,0.995,0.98283,0.25685,0.27229,0.2408,0.77712,0,0.001406,0.001406,0.001406
20,4720.08,0.31624,0.4142,0.30921,0.86702,0,0.99906,1,0.995,0.97905,0.99906,1,0.995,0.98162,0.24749,0.5192,0.27292,0.78554,0,0.001373,0.001373,0.001373
21,4911.72,0.31745,0.37057,0.2986,0.86075,0,0.99092,1,0.995,0.97685,0.99092,1,0.995,0.98275,0.21573,0.17353,0.23644,0.76175,0,0.00134,0.00134,0.00134
22,5106.94,0.32687,0.42846,0.29984,0.86132,0,0.98919,1,0.99332,0.97485,0.98919,1,0.99332,0.98496,0.21684,0.1875,0.54199,0.7556,0,0.001307,0.001307,0.001307
23,5302.47,0.31254,0.38983,0.29673,0.85518,0,0.99947,1,0.995,0.98006,0.99947,1,0.995,0.98852,0.22574,0.16166,0.22432,0.76677,0,0.001274,0.001274,0.001274
24,7154.77,0.30923,0.38093,0.28896,0.86375,0,0.9989,1,0.995,0.97891,0.9989,1,0.995,0.98838,0.23068,0.16998,0.24219,0.77288,0,0.001241,0.001241,0.001241
25,7378.49,0.30257,0.38319,0.29272,0.86244,0,0.99887,1,0.995,0.97835,0.99887,1,0.995,0.98494,0.21438,0.15986,0.24701,0.75677,0,0.001208,0.001208,0.001208
26,45757.8,0.30296,0.38013,0.28628,0.8625,0,0.99945,1,0.995,0.96632,0.99945,1,0.995,0.98319,0.23512,0.1729,0.22971,0.78031,0,0.001175,0.001175,0.001175
27,46247.6,0.29648,0.39073,0.27844,0.85693,0,0.99902,1,0.995,0.98114,0.99902,1,0.995,0.98839,0.20496,0.16568,0.21623,0.75678,0,0.001142,0.001142,0.001142
28,46911.6,0.30581,0.39216,0.27565,0.86402,0,0.99946,1,0.995,0.98621,0.99946,1,0.995,0.99139,0.20572,0.14981,0.20972,0.75655,0,0.001109,0.001109,0.001109
29,47575.3,0.28216,0.33355,0.25749,0.85359,0,0.99949,1,0.995,0.98663,0.99949,1,0.995,0.98963,0.18932,0.1655,0.18737,0.7411,0,0.001076,0.001076,0.001076
30,48227.2,0.28867,0.35594,0.25453,0.85306,0,0.99897,1,0.995,0.98789,0.99897,1,0.995,0.99049,0.19984,0.15009,0.19959,0.75086,0,0.001043,0.001043,0.001043
